unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786203430.532910,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203430.783697,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203431.034443,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203431.285549,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203431.536156,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203431.786793,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203432.037468,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203432.288021,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203432.538544,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203432.789091,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203433.039767,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203433.290450,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203433.541197,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203433.791939,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
1786203434.042523,93376512,120422400,1,12416,0,0,0,0,1921024,90365952,1089536,262144,233472,0,591560,395712,195848
