unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786202641.245980,30834688,37732352,1,35644,0,23728128,6254592,856064,262144,282624,0,308072,112064,196008
1786202641.496557,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306888,110880,196008
1786202641.747113,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306888,110880,196008
1786202641.997641,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306888,110880,196008
1786202642.248190,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306888,110880,196008
1786202642.498738,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306888,110880,196008
1786202642.749294,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202642.999914,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202643.250499,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202643.501023,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202643.751587,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202644.002149,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202644.252923,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202644.503607,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202644.754161,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202645.004743,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202645.255334,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
1786202645.505892,30834688,37732352,1,35644,0,23728128,6254592,851968,262144,282624,0,306296,110288,196008
