unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786203794.481329,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203794.732208,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203794.983085,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203795.233768,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203795.484558,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203795.735225,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203795.986123,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203796.236837,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203796.487589,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203796.738456,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203796.989323,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203797.240449,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203797.491343,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203797.742136,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203797.993085,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203798.243844,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203798.494691,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203798.745593,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203798.996503,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203799.247438,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203799.497973,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203799.748600,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203799.999331,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203800.249861,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203800.500382,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203800.750991,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203801.001610,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203801.252398,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203801.503255,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203801.754209,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203802.004778,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203802.255450,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203802.506169,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203802.756932,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203803.007709,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203803.258473,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
1786203803.509439,117272576,130076672,1,24764,0,0,0,0,12918784,103145472,1138688,262144,262144,0,611768,411904,199864
