unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786204433.865467,171298816,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204434.116251,171298816,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204434.367217,171298816,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204434.618191,171298816,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204434.868845,171298816,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204435.119372,171298816,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204435.369919,171298816,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204435.620414,171298816,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204435.870955,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204436.121463,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204436.372059,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204436.622850,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204436.873615,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204437.124349,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204437.375193,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204437.626000,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204437.876834,171143168,196014080,1,12144,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204438.127683,171405312,196014080,1,12240,0,0,0,0,1654784,167661568,1134592,278528,237568,0,565744,358632,207112
1786204438.378844,171405312,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204438.629603,171405312,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204438.880486,171405312,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204439.131396,171405312,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204439.382648,171405312,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204439.633417,171405312,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204439.883981,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204440.134521,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204440.385084,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204440.635645,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204440.886208,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204441.136699,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204441.387385,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204441.638185,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204441.888951,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204442.139683,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204442.390710,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204442.641577,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204442.892255,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204443.142793,171257856,196014080,1,12240,0,0,0,0,1687552,167661568,1101824,262144,237568,0,558032,358632,199400
1786204443.393430,185327616,196014080,1,24596,0,0,0,0,12636160,169947136,1130496,262144,258048,0,557824,359672,198152
1786204443.645209,255811584,255811584,10,389936,9,363276,0,0,68894720,175505408,9101312,1998848,3993600,0,2102984,460896,1642088
1786204443.897177,465162240,466161664,23,1094436,18,1067776,0,0,234852352,202481664,25063424,6160384,11890688,0,5966888,819032,5147856
1786204444.149292,523264000,523612160,19,1302220,18,1275384,0,0,284442624,211443712,24895488,6619136,11870208,53248,5284632,684368,4600264
