unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786204000.739273,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204000.990001,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204001.240722,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204001.491423,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204001.742264,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204001.992904,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204002.243685,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204002.494448,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204002.745298,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204002.996060,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204003.246896,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204003.497737,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204003.748405,189333504,220024832,1,12428,0,0,0,0,1921024,186040320,1372160,262144,229376,0,875808,678592,197216
1786204003.999299,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204004.249907,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204004.500549,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204004.751242,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204005.001909,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204005.252673,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204005.503367,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204005.753924,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204006.004719,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204006.255530,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204006.506780,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204006.757421,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204007.008064,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204007.258777,188555264,220024832,1,12428,0,0,0,0,1921024,185262080,1372160,262144,229376,0,875808,678592,197216
1786204007.509454,204214272,220024832,1,24684,0,0,0,0,12845056,189210624,1429504,262144,249856,0,896368,693248,203120
1786204007.761384,309702656,309702656,10,476304,9,449492,0,0,107151360,189743104,10850304,2031616,5345280,0,2479568,791264,1688304
1786204008.013834,490262528,492146688,24,1171116,18,1086300,0,0,235085824,226082816,26525696,6406144,12480512,0,6594464,1308816,5285648
1786204008.275421,611766272,613523456,47,1688716,18,1430268,0,0,325529600,248573952,35725312,9011200,16416768,12288,9144800,1529120,7615680
1786204008.532456,669298688,673353728,36,1818684,18,1620140,0,0,373874688,260345856,32907264,8437760,15347712,122880,8007264,1608160,6399104
1786204008.784950,636088320,689238016,19,1672600,18,1645392,0,0,340287488,264056832,29270016,8175616,12775424,8192,7241136,1599008,5642128
1786204009.036947,644829184,689238016,19,1702484,18,1675276,0,0,348356608,264749056,29294592,8175616,12791808,32768,7237112,1590176,5646936
1786204009.288843,647852032,689238016,19,1708296,18,1681088,0,0,350298112,264835072,30109696,8175616,13492224,8192,7341816,1593312,5748504
1786204009.540789,650637312,689238016,19,1719216,18,1692008,0,0,353595392,264880128,29343744,8175616,12800000,4096,7286184,1594584,5691600
1786204009.792656,647860224,689238016,19,1741724,18,1714484,0,0,350580736,265121792,29327360,8175616,12800000,4096,7266472,1589384,5677088
1786204010.044789,649486336,689238016,19,1747560,18,1720316,0,0,352550912,265273344,29343744,8175616,12800000,0,7277360,1606104,5671256
1786204010.297107,650424320,689238016,19,1748172,18,1720928,0,0,353177600,265285632,29327360,8175616,12800000,0,7269696,1600424,5669272
1786204010.549110,650252288,689238016,19,1748896,18,1721652,0,0,353234944,265285632,29327360,8175616,12800000,0,7269696,1600424,5669272
1786204010.800917,650252288,689238016,19,1749348,18,1722104,0,0,353234944,265285632,29327360,8175616,12800000,0,7269696,1600424,5669272
1786204011.053136,650031104,689238016,19,1749484,18,1722240,0,0,353337344,265285632,29323264,8175616,12800000,0,7269200,1602176,5667024
1786204011.305692,650031104,689238016,19,1749484,18,1722240,0,0,353337344,265285632,29323264,8175616,12800000,0,7269200,1602176,5667024
1786204011.558013,651042816,689238016,19,1749520,18,1722276,0,0,353337344,265285632,29323264,8175616,12800000,0,7269200,1602176,5667024
1786204011.810043,651042816,689238016,19,1749520,18,1722276,0,0,353337344,265285632,29323264,8175616,12800000,0,7269200,1602176,5667024
1786204012.061866,652374016,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7267464,1600424,5667040
1786204012.313447,652333056,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7267464,1600424,5667040
1786204012.565682,652201984,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7266960,1600424,5666536
1786204012.817230,652165120,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7266960,1600424,5666536
1786204013.069135,652165120,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7266960,1600424,5666536
1786204013.321380,652713984,689238016,19,1751556,18,1724312,0,0,355270656,265285632,29319168,8175616,12800000,0,7266960,1600424,5666536
